"Ω√¡°","±∏∫–(1)",µ•¿Ã≈Õ
"2000","√—πË√‚∑Æ",502.681
"2000","CO2",443.674
"2000","CH4",27.851
"2000","N2O",17.640
"2000","HFCs",8.443
"2000","PFCs",2.250
"2000","SF6",2.823
"2001","√—πË√‚∑Æ",515.955
"2001","CO2",459.378
"2001","CH4",28.206
"2001","N2O",17.803
"2001","HFCs",5.852
"2001","PFCs",1.989
"2001","SF6",2.727
"2002","√—πË√‚∑Æ",538.406
"2002","CO2",478.860
"2002","CH4",28.389
"2002","N2O",17.612
"2002","HFCs",8.653
"2002","PFCs",1.973
"2002","SF6",2.919
"2003","√—πË√‚∑Æ",548.762
"2003","CO2",487.339
"2003","CH4",28.388
"2003","N2O",21.011
"2003","HFCs",6.443
"2003","PFCs",2.267
"2003","SF6",3.314
"2004","√—πË√‚∑Æ",557.012
"2004","CO2",492.761
"2004","CH4",27.455
"2004","N2O",23.501
"2004","HFCs",6.591
"2004","PFCs",2.774
"2004","SF6",3.930
"2005","√—πË√‚∑Æ",561.472
"2005","CO2",498.236
"2005","CH4",27.462
"2005","N2O",22.053
"2005","HFCs",6.651
"2005","PFCs",2.797
"2005","SF6",4.272
"2006","√—πË√‚∑Æ",566.998
"2006","CO2",504.047
"2006","CH4",27.306
"2006","N2O",21.308
"2006","HFCs",6.098
"2006","PFCs",2.925
"2006","SF6",5.314
"2007","√—πË√‚∑Æ",580.341
"2007","CO2",524.263
"2007","CH4",27.144
"2007","N2O",12.171
"2007","HFCs",7.363
"2007","PFCs",2.978
"2007","SF6",6.421
"2008","√—πË√‚∑Æ",593.991
"2008","CO2",538.154
"2008","CH4",27.097
"2008","N2O",11.616
"2008","HFCs",6.881
"2008","PFCs",2.793
"2008","SF6",7.450
"2009","√—πË√‚∑Æ",598.001
"2009","CO2",542.525
"2009","CH4",27.129
"2009","N2O",12.000
"2009","HFCs",5.846
"2009","PFCs",2.047
"2009","SF6",8.454
"2010","√—πË√‚∑Æ",656.049
"2010","CO2",595.308
"2010","CH4",27.746
"2010","N2O",12.553
"2010","HFCs",8.088
"2010","PFCs",2.265
"2010","SF6",10.090
"2011","√—πË√‚∑Æ",684.703
"2011","CO2",625.935
"2011","CH4",27.820
"2011","N2O",12.346
"2011","HFCs",7.907
"2011","PFCs",2.072
"2011","SF6",8.624
"2012","√—πË√‚∑Æ",688.035
"2012","CO2",627.780
"2012","CH4",27.691
"2012","N2O",12.878
"2012","HFCs",8.694
"2012","PFCs",2.268
"2012","SF6",8.724
"2013","√—πË√‚∑Æ",697.309
"2013","CO2",636.637
"2013","CH4",27.502
"2013","N2O",13.046
"2013","HFCs",8.095
"2013","PFCs",2.321
"2013","SF6",9.709
"2014","√—πË√‚∑Æ",692.101
"2014","CO2",629.870
"2014","CH4",27.326
"2014","N2O",13.142
"2014","HFCs",8.538
"2014","PFCs",2.427
"2014","SF6",10.798
"2015","√—πË√‚∑Æ",692.576
"2015","CO2",634.320
"2015","CH4",27.196
"2015","N2O",13.101
"2015","HFCs",7.931
"2015","PFCs",1.521
"2015","SF6",8.506
"2016","√—πË√‚∑Æ",693.612
"2016","CO2",637.428
"2016","CH4",27.250
"2016","N2O",13.058
"2016","HFCs",7.366
"2016","PFCs",1.489
"2016","SF6",7.022
"2017","√—πË√‚∑Æ",710.743
"2017","CO2",650.220
"2017","CH4",27.873
"2017","N2O",13.898
"2017","HFCs",9.649
"2017","PFCs",2.123
"2017","SF6",6.981
"2018","√—πË√‚∑Æ",727.045
"2018","CO2",664.976
"2018","CH4",28.009
"2018","N2O",14.398
"2018","HFCs",9.305
"2018","PFCs",3.180
"2018","SF6",7.178
"2019","√—πË√‚∑Æ",701.370
"2019","CO2",643.767
"2019","CH4",27.511
"2019","N2O",14.310
"2019","HFCs",6.855
"2019","PFCs",3.003
"2019","SF6",5.924
